Date,State Senate District,Democrat Active,Republican Active,Libertarian Active,No Party Active,Other Active,Total Active,Democratic Inactive,Republican Inactive,Libertarian Inactive,No Party Inactive,Other Inactive,Total Inactive,Grand Total
May 2023,State Senator District 46,9511,13264,154,8902,32,31863,3057,3448,151,7028,36,13720,45583
May 2023,State Senator District 47,9694,12581,148,10401,32,32856,4061,3853,176,8087,46,16223,49079
May 2023,State Senator District 48,6893,11855,121,7125,26,26020,4546,4047,164,8760,61,17578,43598
May 2023,State Senator District 49,9163,6121,152,6792,41,22269,7315,3127,240,10634,80,21396,43665
May 2023,State Senator District 50,9905,8390,142,6543,22,25002,5848,3579,180,8703,61,18371,43373
June 2023,State Senator District 01,5876,7187,88,4161,23,17335,5799,3644,156,7661,62,17322,34657
June 2023,State Senator District 02,2905,22334,59,4553,10,29861,1836,6003,102,4634,35,12610,42471
June 2023,State Senator District 03,4475,16203,116,5661,28,26483,3145,4926,112,6477,43,14703,41186
June 2023,State Senator District 04,6714,13369,132,7328,20,27563,3420,4323,128,7722,61,15654,43217
June 2023,State Senator District 05,7464,16240,118,8751,28,32601,2845,4405,149,7457,24,14880,47481
June 2023,State Senator District 06,6350,14775,122,8018,22,29287,2960,4226,107,6947,39,14279,43566
June 2023,State Senator District 07,6077,15232,117,6785,25,28236,3339,4903,121,6840,52,15255,43491
June 2023,State Senator District 08,6509,18406,167,6404,33,31519,2880,6305,223,6304,57,15769,47288
June 2023,State Senator District 09,5158,17285,115,6326,20,28904,2331,5336,135,7181,40,15023,43927
June 2023,State Senator District 10,6716,8471,181,5302,55,20725,5485,4774,339,8559,124,19281,40006
June 2023,State Senator District 11,9557,13649,199,8963,34,32402,3256,3970,170,6794,39,14229,46631
June 2023,State Senator District 12,6505,15143,147,7960,26,29781,2585,4101,123,6666,40,13515,43296
June 2023,State Senator District 13,7341,11242,99,6197,19,24898,3822,3758,116,6880,56,14632,39530
June 2023,State Senator District 14,10643,12426,218,11076,24,34387,3158,3452,152,6731,27,13520,47907
June 2023,State Senator District 15,10283,4845,141,4974,36,20279,6758,2185,192,6273,66,15474,35753
June 2023,State Senator District 16,13665,10447,222,7887,32,32253,4362,2827,174,5651,53,13067,45320
June 2023,State Senator District 17,10306,3142,139,4082,48,17717,8390,2131,206,6587,94,17408,35125
June 2023,State Senator District 18,18158,5622,213,6365,55,30413,6419,2243,189,5414,55,14320,44733
June 2023,State Senator District 19,7908,15094,137,8076,23,31238,3126,3949,114,6966,29,14184,45422
June 2023,State Senator District 20,10612,9429,211,7310,32,27594,4512,2917,165,6249,54,13897,41491
June 2023,State Senator District 21,11289,12554,238,10281,30,34392,3254,3587,182,5801,43,12867,47259
June 2023,State Senator District 22,12582,12034,209,8569,38,33432,3748,2860,152,5001,35,11796,45228
June 2023,State Senator District 23,9723,14243,230,10946,23,35165,2775,3276,158,5850,31,12090,47255
June 2023,State Senator District 24,8776,12890,195,8994,40,30895,3251,3717,157,7841,34,15000,45895
June 2023,State Senator District 25,10821,5681,175,7235,53,23965,6690,3766,301,8549,80,19386,43351
June 2023,State Senator District 26,7984,11300,196,7868,28,27376,3927,3172,139,6965,58,14261,41637
June 2023,State Senator District 27,7669,13932,117,8455,30,30203,3877,3650,119,7143,27,14816,45019
June 2023,State Senator District 28,6219,15550,109,7651,17,29546,2526,4035,109,6566,43,13279,42825
June 2023,State Senator District 29,7936,13351,111,10030,22,31450,2693,3168,101,7264,29,13255,44705
June 2023,State Senator District 30,8916,11866,110,9575,23,30490,3409,3178,122,8156,61,14926,45416
June 2023,State Senator District 31,9986,6091,144,5937,31,22189,7085,2160,141,6918,72,16376,38565
June 2023,State Senator District 32,9118,13487,112,9725,21,32463,2789,3192,97,6288,42,12408,44871
June 2023,State Senator District 33,10236,13219,122,9582,14,33173,2882,3182,91,6765,28,12948,46121
June 2023,State Senator District 34,8048,12403,112,9994,21,30578,2444,2709,84,6864,34,12135,42713
June 2023,State Senator District 35,9004,11151,114,9313,29,29611,4072,3176,128,9044,61,16481,46092
June 2023,State Senator District 36,12446,8365,182,6722,37,27752,5500,3045,211,7136,69,15961,43713
June 2023,State Senator District 37,11818,9823,206,9659,39,31545,3979,2901,199,6275,47,13401,44946
June 2023,State Senator District 38,10392,10926,178,9244,39,30779,3923,3028,137,6654,46,13788,44567
June 2023,State Senator District 39,11597,5810,209,6850,61,24527,6144,2531,206,6977,86,15944,40471
June 2023,State Senator District 40,12090,9042,177,8649,56,30014,4585,2604,205,6616,65,14075,44089
June 2023,State Senator District 41,8751,10260,165,8760,32,27968,4669,3073,142,8440,58,16382,44350
June 2023,State Senator District 42,10080,13186,178,11135,21,34600,2895,2767,146,6761,35,12604,47204
June 2023,State Senator District 43,15931,6022,179,8875,30,31037,5660,2301,142,6525,54,14682,45719
June 2023,State Senator District 44,7181,13773,140,6229,33,27356,3288,4282,152,6953,49,14724,42080
June 2023,State Senator District 45,17594,3221,117,6450,69,27451,8277,2350,175,7101,68,17971,45422
June 2023,State Senator District 46,9557,13364,160,9117,32,32230,2982,3322,148,6843,36,13331,45561
June 2023,State Senator District 47,9771,12701,149,10676,32,33329,3970,3714,174,7903,45,15806,49135
June 2023,State Senator District 48,7030,12033,122,7429,28,26642,4359,3853,163,8470,60,16905,43547
June 2023,State Senator District 49,9246,6154,156,6985,41,22582,7205,3076,237,10510,80,21108,43690
June 2023,State Senator District 50,10290,8696,154,7033,22,26195,5407,3269,170,8265,59,17170,43365
July 2023,State Senator District 01,5898,7221,89,4282,24,17514,5679,3548,152,7502,60,16941,34455
July 2023,State Senator District 02,2931,22479,61,4669,11,30151,1805,5852,100,4535,33,12325,42476
July 2023,State Senator District 03,4497,16279,118,5761,30,26685,3106,4841,112,6413,41,14513,41198
July 2023,State Senator District 04,6726,13426,132,7418,21,27723,3387,4287,129,7669,61,15533,43256
July 2023,State Senator District 05,7469,16314,117,8880,28,32808,2816,4358,149,7400,24,14747,47555
July 2023,State Senator District 06,6365,14840,122,8121,22,29470,2933,4178,106,6873,39,14129,43599
July 2023,State Senator District 07,6113,15337,122,6932,26,28530,3225,4732,115,6677,51,14800,43330
July 2023,State Senator District 08,6593,18639,174,6630,34,32070,2779,6079,220,6114,57,15249,47319
July 2023,State Senator District 09,5164,17335,117,6409,20,29045,2312,5266,133,7128,40,14879,43924
July 2023,State Senator District 10,6781,8525,191,5401,60,20958,5436,4721,333,8494,123,19107,40065
July 2023,State Senator District 11,9590,13716,197,9146,34,32683,3209,3901,168,6713,39,14030,46713
July 2023,State Senator District 12,6504,15208,149,8105,26,29992,2559,4049,122,6593,40,13363,43355
July 2023,State Senator District 13,7343,11300,97,6322,19,25081,3790,3708,116,6826,55,14495,39576
July 2023,State Senator District 14,10691,12491,219,11264,24,34689,3138,3430,150,6663,27,13408,48097
July 2023,State Senator District 15,10312,4864,145,5068,36,20425,6708,2151,191,6232,66,15348,35773
July 2023,State Senator District 16,13669,10475,225,8009,33,32411,4326,2788,172,5592,53,12931,45342
July 2023,State Senator District 17,10312,3141,140,4158,48,17799,8345,2118,203,6562,93,17321,35120
July 2023,State Senator District 18,18172,5638,216,6465,57,30548,6384,2220,188,5362,55,14209,44757
July 2023,State Senator District 19,7917,15146,138,8253,24,31478,3076,3881,111,6896,29,13993,45471
July 2023,State Senator District 20,10628,9468,209,7440,32,27777,4479,2881,163,6205,53,13781,41558
July 2023,State Senator District 21,11308,12662,241,10409,32,34652,3221,3542,181,5743,43,12730,47382
July 2023,State Senator District 22,12615,12069,209,8690,39,33622,3708,2826,151,4952,34,11671,45293
July 2023,State Senator District 23,9736,14308,235,11119,23,35421,2751,3233,158,5781,30,11953,47374
July 2023,State Senator District 24,8796,12951,199,9162,40,31148,3189,3651,155,7749,34,14778,45926
July 2023,State Senator District 25,10834,5701,176,7334,52,24097,6662,3747,299,8511,80,19299,43396
July 2023,State Senator District 26,7990,11346,204,8012,30,27582,3884,3116,137,6895,58,14090,41672
July 2023,State Senator District 27,7672,14001,118,8563,30,30384,3847,3595,117,7051,27,14637,45021
July 2023,State Senator District 28,6242,15610,110,7787,18,29767,2486,3962,107,6494,43,13092,42859
July 2023,State Senator District 29,7941,13385,114,10186,22,31648,2661,3127,99,7191,29,13107,44755
July 2023,State Senator District 30,8942,11904,113,9737,24,30720,3362,3134,121,8077,61,14755,45475
July 2023,State Senator District 31,9999,6106,143,6011,31,22290,7047,2138,141,6881,72,16279,38569
July 2023,State Senator District 32,9129,13516,114,9821,22,32602,2771,3162,96,6235,42,12306,44908
July 2023,State Senator District 33,10240,13276,124,9738,14,33392,2837,3138,90,6689,28,12782,46174
July 2023,State Senator District 34,8055,12470,112,10150,22,30809,2409,2670,84,6769,33,11965,42774
July 2023,State Senator District 35,9024,11194,118,9510,28,29874,4006,3123,127,8935,61,16252,46126
July 2023,State Senator District 36,12467,8397,184,6881,37,27966,5446,3011,210,7067,68,15802,43768
July 2023,State Senator District 37,11842,9841,203,9831,39,31756,3916,2839,196,6185,47,13183,44939
July 2023,State Senator District 38,10403,10938,178,9351,40,30910,3886,2978,137,6585,46,13632,44542
July 2023,State Senator District 39,11615,5827,211,6994,62,24709,6092,2510,203,6903,86,15794,40503
July 2023,State Senator District 40,12135,9074,180,8789,59,30237,4513,2561,205,6540,64,13883,44120
July 2023,State Senator District 41,8767,10307,165,8906,33,28178,4581,2980,139,8287,57,16044,44222
July 2023,State Senator District 42,10083,13229,178,11292,24,34806,2853,2720,145,6669,31,12418,47224
July 2023,State Senator District 43,15959,6040,179,9037,30,31245,5610,2277,141,6481,53,14562,45807
July 2023,State Senator District 44,7180,13816,142,6328,33,27499,3260,4234,149,6898,49,14590,42089
July 2023,State Senator District 45,17618,3229,121,6556,70,27594,8209,2328,175,7065,69,17846,45440
July 2023,State Senator District 46,9588,13406,161,9266,34,32455,2955,3273,146,6774,35,13183,45638
July 2023,State Senator District 47,9805,12755,152,10849,32,33593,3829,3522,168,7700,45,15264,48857
July 2023,State Senator District 48,7034,12074,126,7563,29,26826,4318,3792,161,8383,59,16713,43539
July 2023,State Senator District 49,9274,6195,162,7158,43,22832,7054,2990,234,10350,79,20707,43539
July 2023,State Senator District 50,10300,8724,155,7156,23,26358,5366,3240,169,8210,59,17044,43402
August 2023,State Senator District 01,5910,7253,92,4356,24,17635,5654,3518,151,7477,59,16859,34494
August 2023,State Senator District 02,2948,22570,63,4763,11,30355,1794,5771,99,4500,33,12197,42552
August 2023,State Senator District 03,4515,16337,117,5847,31,26847,3079,4786,109,6365,41,14380,41227
August 2023,State Senator District 04,6715,13487,132,7513,21,27868,3372,4252,129,7614,61,15428,43296
August 2023,State Senator District 05,7488,16414,116,9028,27,33073,2775,4292,148,7316,24,14555,47628
August 2023,State Senator District 06,6359,14869,125,8185,23,29561,2906,4140,105,6821,39,14011,43572
August 2023,State Senator District 07,6121,15386,123,7014,27,28671,3206,4685,114,6640,49,14694,43365
August 2023,State Senator District 08,6610,18727,178,6692,33,32240,2754,6016,218,6069,57,15114,47354
August 2023,State Senator District 09,5164,17390,117,6492,20,29183,2290,5197,131,7085,40,14743,43926
August 2023,State Senator District 10,6827,8595,198,5471,59,21150,5401,4682,332,8453,121,18989,40139
August 2023,State Senator District 11,9586,13790,200,9272,34,32882,3179,3858,165,6666,39,13907,46789
August 2023,State Senator District 12,6493,15259,151,8198,26,30127,2541,4013,121,6541,40,13256,43383
August 2023,State Senator District 13,7347,11347,102,6420,19,25235,3765,3668,115,6773,55,14376,39611
August 2023,State Senator District 14,10731,12568,218,11423,25,34965,3117,3387,146,6617,27,13294,48259
August 2023,State Senator District 15,10340,4873,144,5161,36,20554,6664,2135,189,6195,66,15249,35803
August 2023,State Senator District 16,13687,10488,229,8128,33,32565,4283,2762,170,5548,53,12816,45381
August 2023,State Senator District 17,10321,3152,144,4228,47,17892,8312,2100,199,6531,92,17234,35126
August 2023,State Senator District 18,18197,5647,215,6561,60,30680,6339,2197,188,5331,55,14110,44790
August 2023,State Senator District 19,7918,15182,137,8379,24,31640,3054,3841,110,6841,29,13875,45515
August 2023,State Senator District 20,10642,9475,213,7547,32,27909,4443,2850,160,6161,53,13667,41576
August 2023,State Senator District 21,11332,12712,245,10599,32,34920,3203,3514,178,5670,43,12608,47528
August 2023,State Senator District 22,12644,12091,210,8785,40,33770,3666,2793,150,4907,34,11550,45320
August 2023,State Senator District 23,9759,14356,235,11267,24,35641,2730,3202,158,5719,30,11839,47480
August 2023,State Senator District 24,8800,12997,206,9308,41,31352,3168,3611,154,7686,34,14653,46005
August 2023,State Senator District 25,10821,5715,176,7414,51,24177,6633,3720,298,8474,80,19205,43382
August 2023,State Senator District 26,8003,11376,203,8141,30,27753,3860,3073,137,6836,57,13963,41716
August 2023,State Senator District 27,7673,14029,120,8651,31,30504,3831,3559,115,7015,27,14547,45051
August 2023,State Senator District 28,6258,15653,111,7883,18,29923,2456,3917,107,6439,43,12962,42885
August 2023,State Senator District 29,7934,13381,116,10277,23,31731,2639,3103,98,7137,29,13006,44737
August 2023,State Senator District 30,8953,11922,116,9862,24,30877,3323,3104,119,8006,61,14613,45490
August 2023,State Senator District 31,9982,6114,144,6115,31,22386,7023,2128,141,6850,71,16213,38599
August 2023,State Senator District 32,9136,13526,113,9927,22,32724,2754,3143,95,6196,40,12228,44952
August 2023,State Senator District 33,10246,13311,123,9833,14,33527,2809,3108,90,6640,28,12675,46202
August 2023,State Senator District 34,8064,12506,116,10252,22,30960,2387,2641,84,6709,32,11853,42813
August 2023,State Senator District 35,9018,11232,120,9626,28,30024,3987,3092,126,8883,61,16149,46173
August 2023,State Senator District 36,12484,8428,188,7011,36,28147,5406,2978,209,7026,67,15686,43833
August 2023,State Senator District 37,11870,9853,204,9955,39,31921,3813,2767,192,6071,47,12890,44811
August 2023,State Senator District 38,10401,10942,180,9421,41,30985,3865,2958,137,6542,45,13547,44532
August 2023,State Senator District 39,11628,5849,211,7130,67,24885,5980,2446,198,6813,85,15522,40407
August 2023,State Senator District 40,12128,9083,182,8932,60,30385,4452,2500,201,6451,63,13667,44052
August 2023,State Senator District 41,8793,10334,165,9030,33,28355,4543,2952,139,8215,57,15906,44261
August 2023,State Senator District 42,10076,13260,181,11408,24,34949,2819,2679,143,6611,31,12283,47232
August 2023,State Senator District 43,16004,6067,178,9181,32,31462,5363,2161,138,6245,52,13959,45421
August 2023,State Senator District 44,7183,13833,144,6413,34,27607,3239,4193,148,6850,48,14478,42085
August 2023,State Senator District 45,17614,3245,122,6658,69,27708,7891,2260,172,6920,69,17312,45020
August 2023,State Senator District 46,9582,13433,161,9377,35,32588,2918,3234,145,6694,35,13026,45614
August 2023,State Senator District 47,9821,12817,154,11023,35,33850,3789,3482,168,7629,41,15109,48959
August 2023,State Senator District 48,7041,12123,127,7683,29,27003,4277,3730,158,8314,59,16538,43541
August 2023,State Senator District 49,9289,6215,164,7329,42,23039,7014,2968,235,10290,80,20587,43626
August 2023,State Senator District 50,10295,8752,158,7321,25,26551,5314,3206,167,8134,58,16879,43430
September 2023,State Senator District 01,5913,7278,92,4459,26,17768,5624,3490,150,7439,58,16761,34529
September 2023,State Senator District 02,2953,22658,65,4864,12,30552,1775,5694,99,4466,33,12067,42619
September 2023,State Senator District 03,4532,16401,119,5944,31,27027,3050,4712,107,6308,39,14216,41243
September 2023,State Senator District 04,6713,13539,131,7603,24,28010,3317,4195,128,7482,60,15182,43192
September 2023,State Senator District 05,7487,16461,116,9138,27,33229,2759,4242,148,7264,24,14437,47666
September 2023,State Senator District 06,6365,14943,126,8305,23,29762,2873,4052,104,6739,38,13806,43568
September 2023,State Senator District 07,6135,15461,123,7123,27,28869,3179,4633,114,6594,48,14568,43437
September 2023,State Senator District 08,6658,18948,185,6826,33,32650,2706,5845,216,5965,56,14788,47438
September 2023,State Senator District 09,5168,17458,118,6581,21,29346,2270,5129,131,7050,40,14620,43966
September 2023,State Senator District 10,6882,8672,205,5601,59,21419,5350,4618,327,8381,119,18795,40214
September 2023,State Senator District 11,9622,13865,200,9465,35,33187,3128,3816,164,6586,39,13733,46920
September 2023,State Senator District 12,6492,15299,154,8301,26,30272,2524,3975,120,6502,40,13161,43433
September 2023,State Senator District 13,7353,11389,105,6526,19,25392,3747,3630,114,6721,54,14266,39658
September 2023,State Senator District 14,10768,12641,220,11612,25,35266,3090,3347,146,6562,26,13171,48437
September 2023,State Senator District 15,10364,4888,145,5245,38,20680,6616,2119,188,6158,65,15146,35826
September 2023,State Senator District 16,13696,10507,233,8265,35,32736,4242,2733,166,5498,53,12692,45428
September 2023,State Senator District 17,10337,3178,147,4334,49,18045,8276,2092,198,6490,90,17146,35191
September 2023,State Senator District 18,18214,5661,220,6685,60,30840,6285,2183,182,5294,55,13999,44839
September 2023,State Senator District 19,7934,15227,138,8524,23,31846,3015,3786,110,6767,28,13706,45552
September 2023,State Senator District 20,10646,9505,216,7680,33,28080,4413,2819,159,6104,53,13548,41628
September 2023,State Senator District 21,11358,12772,248,10784,33,35195,3156,3485,178,5624,43,12486,47681
September 2023,State Senator District 22,12641,12132,214,8895,40,33922,3634,2754,147,4870,33,11438,45360
September 2023,State Senator District 23,9759,14425,237,11415,24,35860,2707,3169,156,5670,30,11732,47592
September 2023,State Senator District 24,8805,13075,205,9516,40,31641,3107,3524,153,7558,34,14376,46017
September 2023,State Senator District 25,10862,5745,175,7579,52,24413,6600,3694,297,8425,80,19096,43509
September 2023,State Senator District 26,8020,11422,204,8251,30,27927,3823,3038,137,6796,55,13849,41776
September 2023,State Senator District 27,7669,14077,123,8733,31,30633,3817,3526,113,6974,27,14457,45090
September 2023,State Senator District 28,6255,15711,110,8002,17,30095,2431,3870,107,6387,43,12838,42933
September 2023,State Senator District 29,7934,13414,115,10408,23,31894,2616,3068,98,7080,29,12891,44785
September 2023,State Senator District 30,8936,11962,119,9995,24,31036,3295,3071,119,7925,60,14470,45506
September 2023,State Senator District 31,9992,6127,145,6185,34,22483,6990,2120,140,6809,69,16128,38611
September 2023,State Senator District 32,9139,13549,115,10028,22,32853,2731,3111,95,6163,40,12140,44993
September 2023,State Senator District 33,10235,13335,124,9941,14,33649,2787,3074,87,6572,27,12547,46196
September 2023,State Senator District 34,8056,12527,117,10361,22,31083,2363,2611,84,6662,32,11752,42835
September 2023,State Senator District 35,9008,11262,120,9794,29,30213,3952,3057,126,8815,60,16010,46223
September 2023,State Senator District 36,12467,8446,189,7126,36,28264,5373,2958,209,6997,67,15604,43868
September 2023,State Senator District 37,11877,9894,206,10091,38,32106,3784,2733,188,6026,47,12778,44884
September 2023,State Senator District 38,10395,10955,178,9501,41,31070,3834,2932,135,6503,45,13449,44519
September 2023,State Senator District 39,11640,5862,210,7267,63,25042,5939,2427,198,6767,86,15417,40459
September 2023,State Senator District 40,12147,9093,181,9055,62,30538,4421,2469,201,6421,63,13575,44113
September 2023,State Senator District 41,8831,10358,167,9171,33,28560,4507,2925,139,8176,56,15803,44363
September 2023,State Senator District 42,10069,13285,183,11559,25,35121,2789,2654,143,6553,31,12170,47291
September 2023,State Senator District 43,16066,6117,181,9359,32,31755,5315,2142,134,6210,52,13853,45608
September 2023,State Senator District 44,7170,13849,146,6494,34,27693,3215,4155,146,6813,47,14376,42069
September 2023,State Senator District 45,17796,3293,131,6887,71,28178,7842,2242,171,6873,69,17197,45375
September 2023,State Senator District 46,9599,13457,167,9513,35,32771,2891,3216,145,6641,35,12928,45699
September 2023,State Senator District 47,9839,12871,157,11200,36,34103,3750,3454,167,7575,40,14986,49089
September 2023,State Senator District 48,7049,12174,132,7847,30,27232,4242,3674,157,8240,58,16371,43603
September 2023,State Senator District 49,9295,6243,168,7490,41,23237,6974,2945,235,10233,80,20467,43704
September 2023,State Senator District 50,10303,8799,163,7513,25,26803,5253,3179,164,8066,56,16718,43521
October 2023,State Senator District 01,5915,7314,98,4557,27,17911,5594,3464,150,7405,58,16671,34582
October 2023,State Senator District 02,2962,22740,66,4915,13,30696,1760,5649,99,4444,33,11985,42681
October 2023,State Senator District 03,4544,16445,123,6007,34,27153,3019,4674,106,6270,38,14107,41260
October 2023,State Senator District 04,6726,13581,135,7685,23,28150,3292,4166,126,7428,59,15071,43221
October 2023,State Senator District 05,7475,16517,118,9261,27,33398,2734,4201,145,7211,23,14314,47712
October 2023,State Senator District 06,6360,14973,127,8365,24,29849,2845,4008,103,6701,38,13695,43544
October 2023,State Senator District 07,6133,15500,125,7231,28,29017,3159,4607,114,6547,47,14474,43491
October 2023,State Senator District 08,6678,19053,190,6924,34,32879,2673,5775,214,5918,55,14635,47514
October 2023,State Senator District 09,5142,17507,118,6693,22,29482,2248,5091,131,7010,40,14520,44002
October 2023,State Senator District 10,6899,8720,211,5675,59,21564,5320,4582,324,8341,119,18686,40250
October 2023,State Senator District 11,9685,13979,203,9671,37,33575,3088,3756,163,6529,39,13575,47150
October 2023,State Senator District 12,6483,15360,156,8405,27,30431,2493,3943,120,6449,39,13044,43475
October 2023,State Senator District 13,7350,11428,105,6639,21,25543,3711,3581,114,6659,53,14118,39661
October 2023,State Senator District 14,10818,12716,228,11797,29,35588,2944,3199,141,6393,26,12703,48291
October 2023,State Senator District 15,10389,4923,145,5357,39,20853,6494,2082,186,6094,65,14921,35774
October 2023,State Senator District 16,13709,10505,239,8398,36,32887,4141,2666,159,5410,52,12428,45315
October 2023,State Senator District 17,10355,3200,145,4464,48,18212,8149,2066,195,6421,89,16920,35132
October 2023,State Senator District 18,18229,5678,223,6805,61,30996,6069,2116,181,5175,54,13595,44591
October 2023,State Senator District 19,7921,15290,140,8628,25,32004,2993,3756,110,6726,28,13613,45617
October 2023,State Senator District 20,10643,9549,217,7824,34,28267,4349,2768,157,6017,53,13344,41611
October 2023,State Senator District 21,11377,12826,250,10933,33,35419,3031,3378,176,5500,43,12128,47547
October 2023,State Senator District 22,12663,12152,214,9029,40,34098,3548,2669,141,4789,32,11179,45277
October 2023,State Senator District 23,9762,14484,240,11544,25,36055,2641,3085,154,5580,29,11489,47544
October 2023,State Senator District 24,8800,13132,206,9654,40,31832,3075,3486,153,7498,34,14246,46078
October 2023,State Senator District 25,10870,5772,179,7707,50,24578,6565,3673,297,8383,81,18999,43577
October 2023,State Senator District 26,8039,11457,209,8364,29,28098,3781,3002,136,6740,55,13714,41812
October 2023,State Senator District 27,7676,14123,125,8818,32,30774,3784,3490,112,6927,27,14340,45114
October 2023,State Senator District 28,6257,15774,112,8135,17,30295,2402,3814,107,6331,43,12697,42992
October 2023,State Senator District 29,7922,13437,117,10502,23,32001,2588,3046,98,7036,28,12796,44797
October 2023,State Senator District 30,8947,11998,123,10127,24,31219,3251,3024,117,7821,60,14273,45492
October 2023,State Senator District 31,10006,6146,146,6258,34,22590,6954,2098,137,6769,69,16027,38617
October 2023,State Senator District 32,9134,13596,116,10109,22,32977,2711,3093,95,6125,39,12063,45040
October 2023,State Senator District 33,10209,13375,122,10042,15,33763,2759,3048,87,6536,27,12457,46220
October 2023,State Senator District 34,8041,12553,117,10435,23,31169,2342,2592,84,6632,32,11682,42851
October 2023,State Senator District 35,8998,11296,122,9941,29,30386,3933,3030,126,8762,60,15911,46297
October 2023,State Senator District 36,12460,8467,190,7246,36,28399,5332,2934,209,6961,66,15502,43901
October 2023,State Senator District 37,11901,9926,206,10206,40,32279,3762,2722,188,5983,47,12702,44981
October 2023,State Senator District 38,10386,10988,178,9598,44,31194,3814,2911,134,6464,45,13368,44562
October 2023,State Senator District 39,11655,5886,212,7418,63,25234,5916,2414,196,6730,86,15342,40576
October 2023,State Senator District 40,12132,9107,183,9185,63,30670,4393,2461,196,6375,61,13486,44156
October 2023,State Senator District 41,8821,10389,167,9280,34,28691,4479,2898,137,8129,56,15699,44390
October 2023,State Senator District 42,10069,13325,186,11688,24,35292,2763,2633,141,6518,29,12084,47376
October 2023,State Senator District 43,16077,6136,179,9495,33,31920,5290,2131,133,6173,52,13779,45699
October 2023,State Senator District 44,7159,13888,150,6588,35,27820,3172,4096,144,6764,46,14222,42042
October 2023,State Senator District 45,17815,3317,130,6988,71,28321,7831,2234,173,6858,69,17165,45486
October 2023,State Senator District 46,9591,13478,170,9628,35,32902,2866,3189,144,6590,34,12823,45725
October 2023,State Senator District 47,9844,12922,164,11359,38,34327,3733,3422,164,7527,39,14885,49212
October 2023,State Senator District 48,7033,12206,135,7973,30,27377,4220,3658,156,8192,58,16284,43661
October 2023,State Senator District 49,9368,6285,175,7662,41,23531,6919,2921,232,10164,80,20316,43847
October 2023,State Senator District 50,10303,8846,164,7656,25,26994,5222,3149,162,8014,56,16603,43597
November 2023,State Senator District 01,5936,7363,104,4687,28,18118,5541,3427,148,7358,56,16530,34648
November 2023,State Senator District 02,2967,22842,70,5018,13,30910,1746,5579,97,4402,33,11857,42767
November 2023,State Senator District 03,4569,16529,129,6088,34,27349,2998,4608,106,6212,38,13962,41311
November 2023,State Senator District 04,6830,13898,146,7988,26,28888,3155,3862,124,7225,59,14425,43313
November 2023,State Senator District 05,7468,16614,120,9436,28,33666,2701,4138,144,7140,23,14146,47812
November 2023,State Senator District 06,6355,15065,133,8480,24,30057,2812,3923,100,6628,38,13501,43558
November 2023,State Senator District 07,6137,15567,131,7365,29,29229,3127,4554,113,6493,46,14333,43562
November 2023,State Senator District 08,6701,19135,197,7018,34,33085,2627,5709,209,5842,55,14442,47527
November 2023,State Senator District 09,5161,17571,123,6770,22,29647,2217,5033,130,6960,40,14380,44027
November 2023,State Senator District 10,6965,8804,216,5795,62,21842,5262,4527,319,8244,117,18469,40311
November 2023,State Senator District 11,9697,14056,210,9786,39,33788,3055,3715,162,6485,39,13456,47244
November 2023,State Senator District 12,6485,15436,162,8514,27,30624,2470,3899,117,6400,39,12925,43549
November 2023,State Senator District 13,7351,11504,109,6762,21,25747,3677,3539,114,6597,52,13979,39726
November 2023,State Senator District 14,10882,12808,233,12026,29,35978,2907,3158,139,6349,26,12579,48557
November 2023,State Senator District 15,10391,4964,147,5478,40,21020,6430,2060,185,6050,64,14789,35809
November 2023,State Senator District 16,13757,10563,247,8582,39,33188,4096,2630,159,5364,52,12301,45489
November 2023,State Senator District 17,10428,3226,155,4592,50,18451,8088,2044,192,6375,89,16788,35239
November 2023,State Senator District 18,18285,5734,226,6948,61,31254,6014,2088,177,5137,53,13469,44723
November 2023,State Senator District 19,7923,15355,141,8773,26,32218,2961,3712,108,6657,28,13466,45684
November 2023,State Senator District 20,10689,9613,225,7964,35,28526,4305,2743,154,5969,51,13222,41748
November 2023,State Senator District 21,11383,12922,255,11133,34,35727,2992,3348,174,5455,43,12012,47739
November 2023,State Senator District 22,12676,12190,213,9173,42,34294,3514,2643,140,4741,31,11069,45363
November 2023,State Senator District 23,9786,14551,245,11696,30,36308,2604,3051,154,5524,28,11361,47669
November 2023,State Senator District 24,8834,13157,211,9849,41,32092,3026,3447,150,7419,34,14076,46168
November 2023,State Senator District 25,10887,5806,184,7793,50,24720,6533,3652,293,8341,80,18899,43619
November 2023,State Senator District 26,8095,11532,213,8584,30,28454,3721,2958,133,6682,54,13548,42002
November 2023,State Senator District 27,7691,14186,128,8960,32,30997,3749,3448,108,6844,27,14176,45173
November 2023,State Senator District 28,6258,15810,115,8256,17,30456,2370,3768,105,6291,42,12576,43032
November 2023,State Senator District 29,7915,13490,123,10653,24,32205,2548,3011,97,6957,28,12641,44846
November 2023,State Senator District 30,8941,12021,126,10245,23,31356,3226,2993,115,7758,59,14151,45507
November 2023,State Senator District 31,9998,6159,148,6359,33,22697,6918,2078,134,6732,69,15931,38628
November 2023,State Senator District 32,9149,13663,119,10239,23,33193,2687,3064,93,6078,39,11961,45154
November 2023,State Senator District 33,10213,13447,127,10182,15,33984,2719,3016,86,6492,27,12340,46324
November 2023,State Senator District 34,8034,12575,121,10574,23,31327,2310,2564,81,6567,30,11552,42879
